city_data,year,month,prop
city_bucharest,2022,MONTH_jan,0.9065934065934066
city_brisbane,2022,MONTH_jan,0.8987854251012146
city_chengdu,2022,MONTH_jan,0.8
city_new_delhi,2022,MONTH_jan,0.8666666666666667
city_paris,2022,MONTH_jan,0.8818422046055115
city_san_francisco,2022,MONTH_jan,0.9293150684931507
city_denver,2022,MONTH_jan,0.9293150684931507
city_ankara,2022,MONTH_jan,0.9027283511269276
city_harare,2022,MONTH_jan,1 
city_hanoi,2022,MONTH_jan,0.9253731343283582
city_washington,2022,MONTH_jan,0.9293150684931507
city_bangkok,2022,MONTH_jan,0.7692307692307693
city_tunis,2022,MONTH_jan,0.9056603773584906
city_seoul,2022,MONTH_jan,0.9253731343283582
city_belgrade,2022,MONTH_jan,0.9090909090909091
city_moscow,2022,MONTH_jan,0.7934782608695652
city_lima,2022,MONTH_jan,0.9705882352941176
city_islamabad,2022,MONTH_jan,0.8928571428571429
city_abuja,2022,MONTH_jan,1 
city_managua,2022,MONTH_jan,0.9047619047619048
city_amsterdam,2022,MONTH_jan,0.924908424908425
city_rabat,2022,MONTH_jan,0.9714285714285714
city_ulaanbaatar,2022,MONTH_jan,0.8
city_mexico_city,2022,MONTH_jan,0.9220470098185064
city_nairobi,2022,MONTH_jan,1
city_tokyo,2022,MONTH_jan,0.5873192436040044
city_baghdad,2022,MONTH_jan,0.925
city_tehran,2022,MONTH_jan,0.925
city_jakarta,2022,MONTH_jan,0.8819938962360122
city_guatemala_city,2022,MONTH_jan,0.9047619047619048
city_berlin,2022,MONTH_jan,0.9141824751580849
city_addis_ababa,2022,MONTH_jan,1
city_cairo,2022,MONTH_jan,0.9056603773584906
city_quito,2022,MONTH_jan,0.9565217391304348
city_bogota,2022,MONTH_jan,0.8592592592592593
city_beijing,2022,MONTH_jan,0.8
city_accra,2022,MONTH_jan,1
city_ottawa,2022,MONTH_jan,0.8787878787878788
city_brasilia,2022,MONTH_jan,0.9236641221374046
city_la_paz,2022,MONTH_jan,0.9236641221374046
city_dhaka,2022,MONTH_jan,0.91701244813278
city_yerevan,2022,MONTH_jan,0.9027283511269276
city_chicago,2022,MONTH_jan,0.9293150684931507
city_kyiv,2022,MONTH_jan,0.9090909090909091
city_dubai,2022,MONTH_jan,0.925
city_mumbai,2022,MONTH_jan,0.8666666666666667
city_madrid,2022,MONTH_jan,0.8149882903981265
